COMPKEY,UNITID,UNITID2,ORD_STREET,ORD_STNAME,SE_ANNO_CAD_DATA,STATUS,NAME,OBJECTID,Shape__Length
10354,6745,0080,FAIRVIEW,FAIRVIEW AVE N,System.Byte[],CONSTRUCTED,South Lake Union,55219,572.905986728947
13533,10440,0020,WESTLAKE,WESTLAKE AVE N,System.Byte[],CONSTRUCTED,South Lake Union,55220,426.589169268078
10768,7180,0100,HARRISON,HARRISON ST,System.Byte[],CONSTRUCTED,South Lake Union,55221,272.485678255007
10355,6745,0087,FAIRVIEW,FAIRVIEW AVE N,System.Byte[],CONSTRUCTED,South Lake Union,55222,256.437711927998
0, , , , ,System.Byte[],CONSTRUCTED,South Lake Union,55223,154.449876909564
13267,10160,0110,VALLEY,VALLEY ST,System.Byte[],CONSTRUCTED,South Lake Union,55224,275.794049925523
13529,10435,0202,WESTLAKE,WESTLAKE AVE,System.Byte[],CONSTRUCTED,South Lake Union,55225,73.1182447335642
13528,10435,0200,WESTLAKE,WESTLAKE AVE,System.Byte[],CONSTRUCTED,South Lake Union,55226,196.465013728902
13530,10435,0210,WESTLAKE,WESTLAKE AVE,System.Byte[],CONSTRUCTED,South Lake Union,55227,485.287818125673
13537,10440,0060,WESTLAKE,WESTLAKE AVE N,System.Byte[],CONSTRUCTED,South Lake Union,55228,277.011893349813
13535,10440,0040,WESTLAKE,WESTLAKE AVE N,System.Byte[],CONSTRUCTED,South Lake Union,55229,426.981912201854
0, , , , ,System.Byte[],CONSTRUCTED,South Lake Union,55230,102.057125289192
13267,10160,0110,VALLEY,VALLEY ST,System.Byte[],CONSTRUCTED,South Lake Union,55231,267.229344006364
0, , , , ,System.Byte[],PLANNED,South Lake Union,55232,77.5399547010073
13532,10440,0010,WESTLAKE,WESTLAKE AVE N,System.Byte[],CONSTRUCTED,South Lake Union,55233,426.788862354517
13531,10435,0220,WESTLAKE,WESTLAKE AVE,System.Byte[],CONSTRUCTED,South Lake Union,55234,213.270362180308
10354,6745,0080,FAIRVIEW,FAIRVIEW AVE N,System.Byte[],CONSTRUCTED,South Lake Union,55235,588.601057228066
13527,10435,0193,WESTLAKE,WESTLAKE AVE,System.Byte[],CONSTRUCTED,South Lake Union,55236,447.704123648452
13121,10045,0040,TERRY,TERRY AVE N,System.Byte[],CONSTRUCTED,South Lake Union,55237,346.735938088494
13529,10435,0202,WESTLAKE,WESTLAKE AVE,System.Byte[],CONSTRUCTED,South Lake Union,55238,362.848287120307
13123,10045,0060,TERRY,TERRY AVE N,System.Byte[],CONSTRUCTED,South Lake Union,55239,422.109752184959
13265,10160,0090,VALLEY,VALLEY ST,System.Byte[],CONSTRUCTED,South Lake Union,55240,234.796375557942
10356,6745,0100,FAIRVIEW,FAIRVIEW AVE N,System.Byte[],CONSTRUCTED,South Lake Union,55241,249.690962825548
10355,6745,0087,FAIRVIEW,FAIRVIEW AVE N,System.Byte[],CONSTRUCTED,South Lake Union,55242,256.47582695096
0, , , , ,System.Byte[],CONSTRUCTED,South Lake Union,55243,262.422188296346
13140,10055,0095,THOMAS,THOMAS ST,System.Byte[],CONSTRUCTED,South Lake Union,55244,387.518694335139
13120,10045,0030,TERRY,TERRY AVE N,System.Byte[],CONSTRUCTED,South Lake Union,55245,356.234640200345
13531,10435,0220,WESTLAKE,WESTLAKE AVE,System.Byte[],CONSTRUCTED,South Lake Union,55246,213.707822486591
0, , , , ,System.Byte[],CONSTRUCTED,South Lake Union,55247,119.517583189096
13534,10440,0030,WESTLAKE,WESTLAKE AVE N,System.Byte[],CONSTRUCTED,South Lake Union,55248,425.170224978936
